Correcte,Erroné,Nombre d'apprenants,FR,IT,NL,UK,GE,Mots,Mots en API,API (Correcte),API (Erroné)
sz,s,53,9,11,8,6,19,"juliusza, proszę, szkoły, szpitala, szpitalem","julʲuʂa, prɔʂɛ̃w̃, ʂkɔwɨ, ʂpʲitala, ʂpʲitalɛm",ʂ,s
s,sz,48,3,13,21,10,1,"niską, prosto, się, sklep, sklepem, sklepu, skręcisz, skręcić, słowackiego","ɲiskɔ̃w̃, prɔstɔ, ɕɛ̃w̃, sklɛp, sklɛpɛm, sklɛpu, skrɛɲt͡ɕiʂ, skrɛɲt͡ɕit͡ɕ, swɔvat͡skʲɛgɔ",s,ʂ
ł,l,46,6,5,10,7,18,"szkoły, słowackiego","ʂkɔwɨ, swɔvat͡skʲɛgɔ",w,l
c,cz,42,4,2,24,4,8,"restauracji, skręcić, stacji, słowackiego, ulica, ulicy, ulicą, ulicę","rɛstaurat͡sjʲi, skrɛɲt͡ɕit͡ɕ, stat͡sjʲi, swɔvat͡skʲɛgɔ, ulʲit͡sa, ulʲit͡sɨ, ulʲit͡sɔ̃w̃, ulʲit͡sɛ̃w̃",t͡s / t͡ɕ,ʈ͡ʂ
i,-,24,2,7,7,2,6,"juliusza, kowalskich, parkiem, skrzyżowania","julʲuʂa, kɔvalskʲix, parkʲɛm, skʂɨʐɔvaɲa",ʲ / ʲi / ɲ,-
ą,on,24,1,21,0,0,2,"dobrą, niską, ulicą","dɔbrɔ̃w̃, ɲiskɔ̃w̃, ulʲit͡sɔ̃w̃",ɔ̃w̃,ɔn
cz,sz,21,2,6,9,0,4,cztery,ʈ͡ʂtɛrɨ,ʈ͡ʂ,ʂ
ć,-,19,2,7,3,7,0,"iść, skręcić","ʲiɕt͡ɕ, skrɛɲt͡ɕit͡ɕ",t͡ɕ,-
au,o,18,4,0,7,2,5,restauracji,rɛstaurat͡sjʲi,au,ɔ
j,-,16,6,6,0,2,2,"jest, restauracji, znajduje","jɛst, rɛstaurat͡sjʲi, znajdujɛ",j,-
c,-,14,1,2,3,3,5,słowackiego,swɔvat͡skʲɛgɔ,t͡s,-
-,o,13,3,5,2,2,1,"niską, numer, numery, szpitala, szpitalem, ulicą, w, za","ɲiskɔ̃w̃, numɛr, numɛrɨ, ʂpʲitala, ʂpʲitalɛm, ulʲit͡sɔ̃w̃, f, za",-,ɔ
-,i,12,2,1,3,2,4,"niską, numer, sklepem, słowackiego, teatru, ulica, ulicą, ulicę, uniwersytetu","ɲiskɔ̃w̃, numɛr, sklɛpɛm, swɔvat͡skʲɛgɔ, tɛatru, ulʲit͡sa, ulʲit͡sɔ̃w̃, ulʲit͡sɛ̃w̃, uɲivɛrsɨtɛtu",-,ʲ / ʲi
