forme incorrecte,cas,forme correcte,cas correct,correspondance,FR,IT,NL,UK,GE
ulicza,Nom,ulicą,Ins,différent,2,0,7,2,1
ulisa,Nom,ulicą,Ins,différent,1,0,0,1,0
ulica,Nom,ulicą,Ins,différent,10,6,5,5,4
ulice,Acc,ulicą,Ins,différent,1,1,0,0,0
ulika,Nom,ulicą,Ins,différent,2,0,0,1,0
ulico,Ins,ulicą,Ins,identique,0,1,0,0,0
ulicon,Ins,ulicą,Ins,identique,0,8,0,0,1
uli,?,ulicą,Ins,différent,0,1,0,0,0
ulicę,Acc,ulicą,Ins,différent,0,1,0,0,0
ulidze,Acc,ulicą,Ins,différent,0,1,0,0,0
ulicja,Nom,ulicą,Ins,différent,0,0,1,2,0
ulicia,Nom,ulicą,Ins,différent,0,0,1,0,0
luczi,?,ulicą,Ins,différent,0,0,1,0,0
julisa,Nom,ulicą,Ins,différent,0,0,0,1,0
uliszia,Nom,ulicą,Ins,différent,0,0,0,1,0
alica,Nom,ulicą,Ins,différent,0,0,0,1,0
elicha,Nom,ulicą,Ins,différent,0,0,0,1,0
alika,Nom,ulicą,Ins,différent,0,0,0,1,0
ulicy,Gen,ulicą,Ins,différent,0,0,0,0,1
niska,Nom,niską,Ins,différent,12,3,13,12,4
niskom,Ins,niską,Ins,identique,1,0,0,0,0
niszka,Nom,niską,Ins,différent,2,1,1,0,0
nisko,Ins,niską,Ins,identique,0,1,0,1,0
niskon,Ins,niską,Ins,identique,0,9,0,0,1
niszkon,Ins,niską,Ins,identique,0,1,0,0,0
nyska,Nom,niską,Ins,différent,0,0,0,1,0
niskie,Loc,niską,Ins,différent,0,0,0,0,1
ulicza,Nom,ulicę,Acc,différent,2,0,5,2,3
ulisa,Nom,ulicę,Acc,différent,1,0,0,2,0
ulica,Nom,ulicę,Acc,différent,10,7,8,3,3
ulice,Acc,ulicę,Acc,identique,1,0,0,1,0
ulika,Nom,ulicę,Acc,différent,2,0,0,0,0
ulisza,Nom,ulicę,Acc,différent,1,0,0,0,0
ulicze,Acc,ulicę,Acc,identique,1,0,0,0,0
ulicon,Ins,ulicę,Acc,différent,0,4,0,0,0
ul,,ulicę,Acc,différent,0,1,0,0,0
uli,?,ulicę,Acc,différent,0,1,0,0,0
uliczia,Nom,ulicę,Acc,différent,0,0,2,0,0
ulicia,Nom,ulicę,Acc,différent,0,0,1,0,0
ulicja,Nom,ulicę,Acc,différent,0,0,0,2,0
olicę,Acc,ulicę,Acc,identique,0,0,0,1,0
ulisze,Acc,ulicę,Acc,identique,0,0,0,1,0
ulisja,Nom,ulicę,Acc,différent,0,0,0,2,0
ulisę,Acc,ulicę,Acc,identique,0,0,0,1,0
ulicz,?,ulicę,Acc,différent,0,0,0,1,0
julisa,Nom,ulicę,Acc,différent,0,0,0,1,0
ulisję,Acc,ulicę,Acc,identique,0,0,0,1,0
ulipia,Nom,ulicę,Acc,différent,0,0,0,1,0
alika,Nom,ulicę,Acc,différent,0,0,0,1,0
ulcze,Acc,ulicę,Acc,identique,0,0,0,1,0
