forme incorrecte,cas,forme correcte,cas correct,FR,IT,NL,UK,GE
ulicza,Nom,ulicą,Ins,2,0,7,2,1
ulisa,Nom,ulicą,Ins,1,0,0,1,0
ulica,Nom,ulicą,Ins,10,6,5,5,4
ulice,Acc,ulicą,Ins,1,1,0,0,0
ulika,Nom,ulicą,Ins,2,0,0,1,0
uli,?,ulicą,Ins,0,1,0,0,0
ulicę,Acc,ulicą,Ins,0,1,0,0,0
ulidze,Acc,ulicą,Ins,0,1,0,0,0
ulicja,Nom,ulicą,Ins,0,0,1,2,0
ulicia,Nom,ulicą,Ins,0,0,1,0,0
luczi,?,ulicą,Ins,0,0,1,0,0
julisa,Nom,ulicą,Ins,0,0,0,1,0
uliszia,Nom,ulicą,Ins,0,0,0,1,0
alica,Nom,ulicą,Ins,0,0,0,1,0
elicha,Nom,ulicą,Ins,0,0,0,1,0
alika,Nom,ulicą,Ins,0,0,0,1,0
ulicy,Gen,ulicą,Ins,0,0,0,0,1
niska,Nom,niską,Ins,12,3,13,12,4
niszka,Nom,niską,Ins,2,1,1,0,0
nyska,Nom,niską,Ins,0,0,0,1,0
niskie,Loc,niską,Ins,0,0,0,0,1
ulicza,Nom,ulicę,Acc,2,0,5,2,3
ulisa,Nom,ulicę,Acc,1,0,0,2,0
ulica,Nom,ulicę,Acc,10,7,8,3,3
ulika,Nom,ulicę,Acc,2,0,0,0,0
ulisza,Nom,ulicę,Acc,1,0,0,0,0
ulicon,Ins,ulicę,Acc,0,4,0,0,0
ul,,ulicę,Acc,0,1,0,0,0
uli,?,ulicę,Acc,0,1,0,0,0
uliczia,Nom,ulicę,Acc,0,0,2,0,0
ulicia,Nom,ulicę,Acc,0,0,1,0,0
ulicja,Nom,ulicę,Acc,0,0,0,2,0
ulisja,Nom,ulicę,Acc,0,0,0,2,0
ulicz,?,ulicę,Acc,0,0,0,1,0
julisa,Nom,ulicę,Acc,0,0,0,1,0
ulipia,Nom,ulicę,Acc,0,0,0,1,0
alika,Nom,ulicę,Acc,0,0,0,1,0
julius,Nom,juliusza,Gen,1,0,0,0,0
juliuszko,?,juliusza,Gen,0,1,0,0,0
dżulius,Nom,juliusza,Gen,0,0,1,0,0
juliusz,Nom,juliusza,Gen,0,0,1,0,0
juliżasi,?,juliusza,Gen,0,0,1,0,0
żulianizi,?,juliusza,Gen,0,0,0,1,0
żulius,Nom,juliusza,Gen,0,0,0,1,0
juliske,?,juliusza,Gen,0,0,0,1,0
julisze,?,juliusza,Gen,0,0,0,0,1
juliuse,?,juliusza,Gen,0,0,0,0,1
dobra,Nom,dobrą,Ins,12,8,11,10,5
dobry,Nom,dobrą,Ins,1,0,0,0,0
dobre,Nom,dobrą,Ins,1,0,0,2,0
dobru,?,dobrą,Ins,0,1,0,0,0
dorba,Nom,dobrą,Ins,0,0,0,1,0
