forme incorrecte,cas,forme correcte,cas correct,correspondance,FR,IT,NL,UK,GE
ulicza,Gen,ulicą,Ins,différent,2,0,7,2,1
ulisa,Acc,ulicą,Ins,différent,1,0,0,1,0
ulica,Nom,ulicą,Ins,différent,10,6,5,5,4
ulice,Acc,ulicą,Ins,différent,1,1,0,0,0
ulika,,ulicą,Ins,différent,2,0,0,1,0
ulico,Nom,ulicą,Ins,différent,0,1,0,0,0
ulicon,Gen,ulicą,Ins,différent,0,8,0,0,1
uli,Gen,ulicą,Ins,différent,0,1,0,0,0
ulicę,Acc,ulicą,Ins,différent,0,1,0,0,0
ulidze,Nom,ulicą,Ins,différent,0,1,0,0,0
ulicja,Nom,ulicą,Ins,différent,0,0,1,2,0
ulicia,Gen,ulicą,Ins,différent,0,0,1,0,0
luczi,Gen,ulicą,Ins,différent,0,0,1,0,0
julisa,Acc,ulicą,Ins,différent,0,0,0,1,0
uliszia,Nom,ulicą,Ins,différent,0,0,0,1,0
alica,Nom,ulicą,Ins,différent,0,0,0,1,0
elicha,Nom,ulicą,Ins,différent,0,0,0,1,0
alika,Nom,ulicą,Ins,différent,0,0,0,1,0
ulicy,Gen,ulicą,Ins,différent,0,0,0,0,1
niska,Nom,niską,Ins,différent,12,3,13,12,4
niskom,Dat,niską,Ins,différent,1,0,0,0,0
niszka,Nom,niską,Ins,différent,2,1,1,0,0
nisko,,niską,Ins,différent,0,1,0,1,0
niskon,,niską,Ins,différent,0,9,0,0,1
niszkon,Nom,niską,Ins,différent,0,1,0,0,0
nyska,Nom,niską,Ins,différent,0,0,0,1,0
niskie,Nom,niską,Ins,différent,0,0,0,0,1
ulicza,Gen,ulicę,Acc,différent,2,0,5,2,3
ulisa,Acc,ulicę,Acc,identique,1,0,0,2,0
ulica,Nom,ulicę,Acc,différent,10,7,8,3,3
ulice,Acc,ulicę,Acc,identique,1,0,0,1,0
ulika,,ulicę,Acc,différent,2,0,0,0,0
ulisza,Nom,ulicę,Acc,différent,1,0,0,0,0
ulicze,Nom,ulicę,Acc,différent,1,0,0,0,0
ulicon,Gen,ulicę,Acc,différent,0,4,0,0,0
ul,,ulicę,Acc,différent,0,1,0,0,0
uli,Gen,ulicę,Acc,différent,0,1,0,0,0
uliczia,Acc,ulicę,Acc,identique,0,0,2,0,0
ulicia,Gen,ulicę,Acc,différent,0,0,1,0,0
ulicja,Nom,ulicę,Acc,différent,0,0,0,2,0
olicę,Acc,ulicę,Acc,identique,0,0,0,1,0
