Forme correcte,Forme erronée (manuel),Correcte,Erroné,FR,IT,NL,UK,GE,Nombre d'apprenants,Apprenants
iść,iś,ć,-,2,8,3,11,1,25,"1115, 1118, 2109, 2111, 2117, 3101, 3102, 3103, 3105, 3106, 3107, 3112, 3113, 3114, 3117, 3118, 4118, 5101, 5104, 5106, 5107, 5112, 5114, 5117, 5119"
skręcić,skroczie,ć,-,1,0,0,0,0,1,1120
skręcić,skręcie,ć,-,0,0,0,1,0,1,3113
cztery,sztery,cz,sz,2,5,9,0,7,23,"1103, 1110, 2102, 2103, 2106, 2108, 2114, 2116, 2117, 2118, 2119, 4101, 4102, 4108, 4113, 4117, 4118, 4120, 5101, 5104, 5105, 5107, 5111"
cztery,szteri,cz,sz,0,1,0,0,0,1,5112
cztery,sztere,cz,sz,0,1,0,0,0,1,5113
restauracji,restoracja,au,o,2,0,5,2,4,13,"1106, 1119, 2103, 2105, 2108, 2117, 2120, 3107, 3116, 4101, 4105, 4109, 4122"
restauracji,restorancja,au,o,1,0,0,0,0,1,1120
restauracji,restoraczje,au,o,1,0,0,0,0,1,1113
restauracji,restoranczja,au,o,0,0,1,0,0,1,2106
restauracji,restoraczja,au,o,0,0,1,0,0,1,2118
restauracji,restoroka,au,o,0,0,0,1,0,1,3103
restauracji,restoranca,au,o,0,0,0,1,0,1,3104
restauracji,restoracje,au,o,0,0,0,0,1,1,4116
restauracji,restorac,au,o,0,0,0,0,1,1,4115
ulicą,ulicza,c,cz,2,0,7,2,1,12,"1103, 1114, 2101, 2103, 2106, 2107, 2117, 2119, 2120, 3106, 3117, 4120"
ulicę,ulicza,c,cz,2,0,5,2,3,12,"1103, 1114, 2103, 2106, 2114, 2117, 2119, 3106, 3117, 4112, 4113, 4120"
ulica,ulicza,c,cz,0,0,3,0,3,6,"2104, 2117, 2120, 4106, 4108, 4113"
skręcić,skręczić,c,cz,0,3,0,1,1,5,"3108, 4116, 5106, 5114, 5119"
ulicy,ulicza,c,cz,0,0,3,0,1,4,"2103, 2106, 2119, 4106"
stacji,staczja,c,cz,0,0,2,0,0,2,"2102, 2105"
ulicę,ulicze,c,cz,1,0,0,0,0,1,1116
ulicę,ulicz,c,cz,0,0,0,1,0,1,3117
restauracji,restoraczje,c,cz,1,0,0,0,0,1,1113
restauracji,restoraczja,c,cz,0,0,1,0,0,1,2118
słowackiego,slowaczkiego,c,cz,0,0,1,0,0,1,2115
słowackiego,słowaczkiego,c,cz,0,0,1,0,0,1,2120
ulica,julicza,c,cz,0,0,1,0,0,1,2107
znajduje,znaduje,j,-,5,5,0,0,0,10,"1101, 1104, 1113, 1116, 1118, 5104, 5106, 5112, 5114, 5117"
znajduje,naduje,j,-,2,0,0,0,0,2,"1105, 1115"
znajduje,znaduj,j,-,0,1,0,1,0,2,"3115, 5107"
jest,est,j,-,0,1,0,0,1,2,"4105, 5111"
restauracji,restraca,j,-,0,0,0,1,0,1,3114
restauracji,restoranca,j,-,0,0,0,1,0,1,3104
restauracji,restorac,j,-,0,0,0,0,1,1,4115
niską,niskon,ą,on,0,9,0,0,1,10,"4117, 5101, 5102, 5104, 5107, 5109, 5116, 5118, 5119, 5120"
ulicą,ulicon,ą,on,0,8,0,0,1,9,"4117, 5101, 5102, 5104, 5106, 5107, 5116, 5118, 5119"
dobrą,dobron,ą,on,1,5,0,0,0,6,"1104, 5101, 5102, 5107, 5118, 5119"
niską,niszkon,ą,on,0,1,0,0,0,1,5106
szkoły,szkola,ł,l,0,1,4,4,1,10,"2106, 2111, 2113, 2119, 3103, 3112, 3114, 3118, 4102, 5114"
szkoły,skola,ł,l,2,1,2,1,2,8,"1108, 1120, 2107, 2116, 3101, 4112, 4123, 5115"
słowackiego,slowakiego,ł,l,1,1,1,1,4,8,"1103, 2117, 3112, 4105, 4112, 4115, 4119, 5115"
słowackiego,slowackiego,ł,l,1,0,1,1,4,7,"1112, 2118, 3114, 4103, 4104, 4109, 4122"
szkoły,skole,ł,l,0,1,0,0,5,6,"4104, 4105, 4108, 4109, 4119, 5111"
szkoły,skoly,ł,l,1,1,0,0,1,3,"1119, 4117, 5106"
szkoły,skuole,ł,l,1,0,0,0,0,1,1116
szkoły,szkoly,ł,l,0,1,0,0,0,1,5104
szkoły,zskola,ł,l,0,0,0,1,0,1,3102
szkoły,szkole,ł,l,0,0,0,1,0,1,3108
szkoły,szkolu,ł,l,0,0,0,0,1,1,4115
słowackiego,sloweskiego,ł,l,1,0,0,0,0,1,1105
słowackiego,slowaczkiego,ł,l,0,0,1,0,0,1,2115
słowackiego,slowacziego,ł,l,0,0,1,0,0,1,2107
słowackiego,slowłasigo,ł,l,0,0,0,1,0,1,3102
słowackiego,slowajego,ł,l,0,0,0,0,1,1,4120
cztery,stery,cz,s,0,0,2,1,6,9,"2104, 2114, 3109, 4103, 4106, 4112, 4114, 4115, 4116"
słowackiego,slowakiego,c,-,1,1,1,1,4,8,"1103, 2117, 3112, 4105, 4112, 4115, 4119, 5115"
słowackiego,słowakiego,c,-,0,0,0,2,1,3,"3108, 3113, 4114"
słowackiego,słowaksjego,c,-,0,1,0,0,0,1,5112
słowackiego,szlowakiego,c,-,0,0,1,0,0,1,2119
słowackiego,słowaksiego,c,-,0,0,1,0,0,1,2101
skręcić,skręczać,ci,cza,0,0,0,0,8,8,"4102, 4103, 4109, 4110, 4116, 4118, 4119, 4123"
skręcić,szkręczać,ci,cza,0,0,1,0,0,1,2106
skręcić,skęczać,ci,cza,0,0,0,0,1,1,4109
szkoły,skola,sz,s,2,1,2,1,2,8,"1108, 1120, 2107, 2116, 3101, 4112, 4123, 5115"
szpitalem,spitalem,sz,s,0,1,1,0,5,7,"2116, 4114, 4117, 4118, 4119, 4122, 5102"
szkoły,skole,sz,s,0,1,0,0,5,6,"4104, 4105, 4108, 4109, 4119, 5111"
szpitalem,spital,sz,s,0,0,2,3,1,6,"2114, 2115, 3112, 3113, 3117, 4101"
szpitala,spital,sz,s,1,1,0,3,0,5,"1117, 3101, 3109, 3118, 5115"
szpitala,spitalu,sz,s,0,1,0,1,1,3,"3106, 4112, 5106"
szkoły,skoly,sz,s,1,1,0,0,1,3,"1119, 4117, 5106"
szkoły,skoły,sz,s,0,2,0,0,1,3,"4116, 5101, 5107"
juliusza,juliusa,sz,s,0,0,0,1,1,2,"3107, 4110"
szpitala,spitalem,sz,s,0,2,0,0,0,2,"5107, 5109"
szkoły,skołe,sz,s,0,1,1,0,0,2,"2108, 5101"
szkoły,skoła,sz,s,0,0,0,1,1,2,"3109, 4101"
juliusza,julius,sz,s,1,0,0,0,0,1,1110
juliusza,żuliusa,sz,s,1,0,0,0,0,1,1106
juliusza,dżulius,sz,s,0,0,1,0,0,1,2113
juliusza,żulius,sz,s,0,0,0,1,0,1,3103
juliusza,juliuse,sz,s,0,0,0,0,1,1,4114
szpitala,spita,sz,s,1,0,0,0,0,1,1119
szpitala,spytal,sz,s,0,0,0,1,0,1,3105
szpitala,spitala,sz,s,0,0,0,0,1,1,4116
szkoły,skała,sz,s,1,0,0,0,0,1,1110
szkoły,skuole,sz,s,1,0,0,0,0,1,1116
szpitalem,spitala,sz,s,0,1,0,0,0,1,5115
szpitalem,spitae,sz,s,0,0,0,0,1,1,4120
szpitalem,spitalu,sz,s,0,0,0,0,1,1,4116
szpitalem,spitale,sz,s,0,0,0,0,1,1,4115
proszę,prosę,sz,s,0,0,1,0,0,1,2105
proszę,pros,sz,s,0,0,0,0,1,1,4108
uniwersytetu,uniwersitet,y,i,1,1,1,0,5,8,"1108, 2116, 4102, 4108, 4109, 4110, 4122, 5115"
uniwersytetu,uniwersiteć,y,i,1,0,0,0,0,1,1115
uniwersytetu,juniwersitet,y,i,0,0,1,0,0,1,2107
uniwersytetu,juniwersitecz,y,i,0,0,0,1,0,1,3106
uniwersytetu,uniwersitecia,y,i,0,0,0,0,1,1,4112
uniwersytetu,uniwersitete,y,i,0,0,0,0,1,1,4119
sklepu,szklep,s,sz,0,1,6,0,0,7,"2101, 2103, 2106, 2109, 2113, 2118, 5113"
sklepem,szklep,s,sz,0,0,6,0,0,6,"2103, 2105, 2107, 2109, 2113, 2118"
skręcić,szkręcić,s,sz,0,1,3,1,0,5,"2101, 2104, 2118, 3116, 5118"
się,szie,s,sz,0,5,0,0,0,5,"5106, 5107, 5112, 5114, 5120"
