Forme(s) correcte(s),Forme(s) erronée(s),Correcte,Erroné,FR,IT,NL,UK,GE,Nombre total d'apprenants,Apprenants
ʂkɔwɨ,"skɔla, skɔlɛ, skɔlɨ, skuɔlɛ, ʂkɔla, ʂkɔlɛ, ʂkɔlu, ʂkɔlɨ, sskɔla",w,l,4,5,6,7,10,32,"1108, 1116, 1119, 1120, 2106, 2107, 2111, 2113, 2116, 2119, 3101, 3102, 3103, 3108, 3112, 3114, 3118, 4102, 4104, 4105, 4108, 4109, 4112, 4115, 4117, 4119, 4123, 5104, 5106, 5111, 5114, 5115"
"ʂpitala, ʂpitalɛm","spita, spitaɛ, spital, spitala, spitalɛ, spitalɛm, spitalu, spɨtal",ʂ,s,2,5,3,8,10,28,"1117, 1119, 2114, 2115, 2116, 3101, 3105, 3106, 3109, 3112, 3113, 3117, 3118, 4101, 4112, 4114, 4115, 4116, 4117, 4118, 4119, 4120, 4122, 5102, 5106, 5107, 5109, 5115"
iɕt͡ɕ,iɕ,t͡ɕ,-,2,8,3,11,1,25,"1115, 1118, 2109, 2111, 2117, 3101, 3102, 3103, 3105, 3106, 3107, 3112, 3113, 3114, 3117, 3118, 4118, 5101, 5104, 5106, 5107, 5112, 5114, 5117, 5119"
t͡ʂtɛrɨ,"ʂtɛrɛ, ʂtɛri, ʂtɛrɨ",t͡ʂ,ʂ,2,7,9,0,7,25,"1103, 1110, 2102, 2103, 2106, 2108, 2114, 2116, 2117, 2118, 2119, 4101, 4102, 4108, 4113, 4117, 4118, 4120, 5101, 5104, 5105, 5107, 5111, 5112, 5113"
ʂkɔwɨ,"skawa, skɔla, skɔlɛ, skɔlɨ, skɔwa, skɔwɛ, skɔwɨ, skuɔlɛ",ʂ,s,5,5,3,2,10,25,"1108, 1110, 1116, 1119, 1120, 2107, 2108, 2116, 3101, 3109, 4101, 4104, 4105, 4108, 4109, 4112, 4116, 4117, 4119, 4123, 5101, 5106, 5107, 5111, 5115"
"sklɛp, sklɛpɛm, sklɛpu","ʂklɛp, ʂklɛpɛ, ʂklɛpɛm, ʂklɛpu",s,ʂ,0,5,10,6,0,21,"2101, 2102, 2103, 2104, 2105, 2106, 2107, 2109, 2113, 2118, 3107, 3108, 3112, 3114, 3115, 3116, 5104, 5111, 5113, 5118, 5119"
rɛstavrat͡sji,"rɛstɔrat͡s, rɛstɔrat͡sja, rɛstɔrat͡sjɛ, rɛstɔrat͡ʂja, rɛstɔrat͡ʂjɛ, rɛstɔrant͡sa, rɛstɔrant͡sja, rɛstɔrant͡ʂja, rɛstɔrɔka",af,ɔ,4,0,7,4,6,21,"1106, 1113, 1119, 1120, 2103, 2105, 2106, 2108, 2117, 2118, 2120, 3103, 3104, 3107, 3116, 4101, 4105, 4109, 4115, 4116, 4122"
swɔvat͡skʲɛɡɔ,"slɔvat͡skʲɛɡɔ, slɔvat͡ʂjɛɡɔ, slɔvat͡ʂkʲɛɡɔ, slɔvajɛɡɔ, slɔvakʲɛɡɔ, slɔvɛskʲɛɡɔ, slɔvwaɕiɡɔ",w,l,3,1,4,3,9,20,"1103, 1105, 1112, 2107, 2115, 2117, 2118, 3102, 3112, 3114, 4103, 4104, 4105, 4109, 4112, 4115, 4119, 4120, 4122, 5115"
"ulit͡sa, ulit͡sɨ, ulit͡sɔ̃, ulit͡sɛ","julit͡ʂa, ulit͡ʂ, ulit͡ʂa, ulit͡ʂɛ",t͡s,t͡ʂ,3,0,9,2,5,19,"1103, 1114, 1116, 2101, 2103, 2104, 2106, 2107, 2114, 2117, 2119, 2120, 3106, 3117, 4106, 4108, 4112, 4113, 4120"
znajdujɛ,"nadujɛ, znaduj, znadujɛ",j,-,7,6,0,1,0,14,"1101, 1104, 1105, 1113, 1115, 1116, 1118, 3115, 5104, 5106, 5107, 5112, 5114, 5117"
