Correcte,Erroné,FR,IT,NL,UK,GE,Nombre total d'apprenants,Examples de mots
sz,s,7,7,7,10,16,47,"juliusza, proszę, szkoły, szpitala, szpitalem"
ł,l,7,5,9,7,13,41,"szkoły, słowackiego"
s,sz,2,12,11,7,3,35,"niską, prosto, się, sklep, sklepem, sklepu, skręcisz, skręcić, słowackiego"
c,cz,4,3,13,3,6,29,"restauracji, skręcić, stacji, słowackiego, ulica, ulicy, ulicą, ulicę"
ć,-,3,8,3,11,1,26,"iść, skręcić"
cz,sz,2,7,9,0,7,25,cztery
au,o,4,0,7,4,6,21,restauracji
j,-,7,7,0,3,2,19,"jest, restauracji, znajduje"
c,-,1,2,3,3,5,14,słowackiego
y,i,2,1,2,1,7,13,uniwersytetu
c,s,4,3,0,4,2,13,"restauracji, słowackiego, ulica, ulicą, ulicę"
ą,on,1,10,0,0,1,12,"dobrą, niską, ulicą"
-,i,3,1,1,4,3,12,"kowalskich, krótką, niską, numer, sklepem, słowackiego, teatru, ulica, ulicą, ulicę, uniwersytetu"
-,n,2,1,1,3,4,11,"prosto, restauracji, skręcić, słowackiego, za"
o,-,1,1,0,2,6,10,prosto
ę,en,8,1,0,0,1,10,"się, skręcisz, skręcić, skręć"
-,o,1,4,2,1,2,10,"numer, numery, szpitala, szpitalem, w, za"
-,j,2,0,3,4,1,10,"iść, lewo, ulica, ulicą, ulicę, uniwersytetu"
cz,s,0,0,2,1,6,9,cztery
sz,sk,7,1,0,0,1,9,juliusza
ci,cza,0,0,1,0,8,9,skręcić
r,-,1,0,0,5,3,9,"dobrą, numer, prosto, proszę, skręcić, teatru, uniwersytetu"
t,-,3,0,1,1,3,8,"cztery, jest"
sz,os,4,2,1,0,1,8,"szpitala, szpitalem, szpitalu"
s,-,1,1,3,0,3,8,"prosto, skrzyżowaniem, skręcić"
i,-,1,2,2,0,2,7,"juliusza, parkiem, skrzyżowania"
o,a,2,0,0,2,3,7,"obok, prosto, szkoły, słowackiego"
ć,t,0,0,2,4,1,7,iść
z,-,3,0,0,3,0,6,znajduje
u,-,1,0,1,1,3,6,"juliusza, restauracji, uwaga"
au,-,0,0,0,6,0,6,restauracji
t,cz,0,2,0,4,0,6,"teatru, uniwersytetu"
-,k,0,2,2,0,2,6,juliusza
j,ż,3,1,0,2,0,6,juliusza
-,t,2,0,3,0,1,6,"proszę, sklepem, sklepu, za"
k,t,2,0,0,3,0,5,"obok, skręcisz, skręcić, skręć"
sz,hos,2,0,2,0,1,5,szpitalem
c,dz,0,1,2,2,0,5,"skręcisz, skręcić, ulicy, ulicą"
o,e,1,0,0,1,3,5,"obok, prosto"
ść,dź,5,0,0,0,0,5,iść
ic,-,0,3,0,0,2,5,"ulica, ulicą, ulicę"
o,u,2,1,0,1,1,5,"obok, prosto, szkoły"
a,e,0,0,2,0,2,4,prawo
-,on,0,4,0,0,0,4,ulicę
j,dż,1,0,1,2,0,4,juliusza
o,eu,0,0,0,4,0,4,"obok, prawo, prosto, słowackiego"
l,-,0,2,0,0,2,4,"kowalskich, szpitalem"
-,s,2,1,1,0,0,4,"cztery, i, kowalskich, słowackiego"
skrz,sz,0,2,0,0,2,4,"skrzyżowania, skrzyżowaniem, skrzyżowaniu"
er,-,0,0,1,0,3,4,numer
s,z,0,0,0,2,1,3,się
c,k,2,0,0,1,0,3,"ulica, ulicą, ulicę"
ć,sz,2,0,0,1,0,3,skręcić
ć,ś,2,1,0,0,0,3,skręcić
c,czi,0,0,3,0,0,3,"ulica, ulicę"
s,c,2,0,1,0,0,3,"jest, się"
ł,k,2,0,1,0,0,3,słowackiego
c,sz,2,0,0,1,0,3,"ulica, ulicę"
c,ls,2,0,1,0,0,3,słowackiego
u,a,0,0,1,2,0,3,"juliusza, ulicą, ulicę"
usz,esk,2,0,0,1,0,3,juliusza
-,z,0,0,0,1,1,2,"dom, na"
ęc,encz,1,1,0,0,0,2,"skręcisz, skręcić"
ow,-,2,0,0,0,0,2,słowackiego
ć,ks,0,0,1,1,0,2,skręcić
p,b,1,0,1,0,0,2,"prawo, sklepem"
ki,j,0,2,0,0,0,2,słowackiego
ć,cz,1,1,0,0,0,2,"iść, skręcić"
w,l,0,0,1,1,0,2,w
sł,szl,0,1,1,0,0,2,słowackiego
ą,o,0,1,0,1,0,2,"niską, ulicą"
rsy,zi,0,0,0,0,2,2,uniwersytetu
-,ł,0,0,0,2,0,2,"lewo, słowackiego"
-,um,1,0,0,0,1,2,na
r,sz,0,2,0,0,0,2,teatru
sz,ż,0,1,0,1,0,2,proszę
k,-,0,0,0,0,2,2,"obok, sklepu"
ić,-,0,0,1,0,1,2,skręcić
ść,sz,0,1,0,1,0,2,iść
-,ci,2,0,0,0,0,2,skręć
y,e,0,0,0,0,2,2,"nazywa, skrzyżowaniem"
sk,-,0,1,0,0,1,2,"kowalskich, skrzyżowaniem"
al,-,1,0,0,0,1,2,"szpitala, szpitalem"
c,sj,0,0,0,2,0,2,ulicę
