Correcte,Erroné,FR,IT,NL,UK,GE,Nombre total d'apprenants,Examples de mots
ʂ,s,7,7,7,10,16,47,"julifʂa, prɔʂɛ, ʂkɔwɨ, ʂpitala, ʂpitalɛm"
w,l,7,5,9,7,13,41,"ʂkɔwɨ, swɔvat͡skʲɛɡɔ"
s,ʂ,2,12,11,7,3,35,"ɲiskɔ̃, prɔstɔ, ɕɛ, sklɛp, sklɛpɛm, sklɛpu, skrɛnt͡ɕiʂ, skrɛnt͡ɕit͡ɕ, swɔvat͡skʲɛɡɔ"
t͡s,t͡ʂ,4,3,13,3,6,29,"rɛstavrat͡sji, skrɛnt͡ɕit͡ɕ, stat͡sji, swɔvat͡skʲɛɡɔ, ulit͡sa, ulit͡sɨ, ulit͡sɔ̃, ulit͡sɛ"
t͡ɕ,-,3,8,3,11,1,26,"iɕt͡ɕ, skrɛnt͡ɕit͡ɕ"
t͡ʂ,ʂ,2,7,9,0,7,25,t͡ʂtɛrɨ
af,ɔ,4,0,7,4,6,21,rɛstavrat͡sji
j,-,7,7,0,3,2,19,"jɛst, rɛstavrat͡sji, znajdujɛ"
t͡s,-,1,2,3,3,5,14,swɔvat͡skʲɛɡɔ
t͡s,s,4,3,0,4,2,13,"rɛstavrat͡sji, swɔvat͡skʲɛɡɔ, ulit͡sa, ulit͡sɔ̃, ulit͡sɛ"
ɨ,i,2,1,2,1,7,13,uɲivɛrsɨtɛtu
ɔ̃,ɔn,1,10,0,0,1,12,"dɔbrɔ̃, ɲiskɔ̃, ulit͡sɔ̃"
-,i,3,1,1,4,3,12,"kɔvalskʲix, krutkɔ̃, ɲiskɔ̃, numɛr, sklɛpɛm, swɔvat͡skʲɛɡɔ, tɛatru, ulit͡sa, ulit͡sɔ̃, ulit͡sɛ, uɲivɛrsɨtɛtu"
-,n,2,1,1,3,4,11,"prɔstɔ, rɛstavrat͡sji, skrɛnt͡ɕit͡ɕ, swɔvat͡skʲɛɡɔ, za"
ɔ,-,1,1,0,2,6,10,prɔstɔ
-,ɔ,1,4,2,1,2,10,"numɛr, numɛrɨ, ʂpitala, ʂpitalɛm, f, za"
ɛ,ɛn,8,1,0,0,1,10,"ɕɛ, skrɛnt͡ɕiʂ, skrɛnt͡ɕit͡ɕ, skrɛɲt͡ɕ"
-,j,2,0,3,4,1,10,"iɕt͡ɕ, lɛvɔ, ulit͡sa, ulit͡sɔ̃, ulit͡sɛ, uɲivɛrsɨtɛtu"
r,-,1,0,0,5,3,9,"dɔbrɔ̃, numɛr, prɔstɔ, prɔʂɛ, skrɛnt͡ɕit͡ɕ, tɛatru, uɲivɛrsɨtɛtu"
ʂ,sk,7,1,0,0,1,9,julifʂa
t͡ɕi,t͡ʂa,0,0,1,0,8,9,skrɛnt͡ɕit͡ɕ
t͡ʂ,s,0,0,2,1,6,9,t͡ʂtɛrɨ
t,-,3,0,1,1,3,8,"t͡ʂtɛrɨ, jɛst"
