Forme correcte,Forme erronée (manuel),Nombre d'apprenants,FR,IT,NL,UK,GE,Apprenants
iść,idź,5,5,0,0,0,0,"1104, 1108, 1113, 1114, 1115"
iść,iś,25,2,8,3,11,1,"1115, 1118, 2109, 2111, 2117, 3101, 3102, 3103, 3105, 3106, 3107, 3112, 3113, 3114, 3117, 3118, 4118, 5101, 5104, 5106, 5107, 5112, 5114, 5117, 5119"
iść,iszcze,1,1,0,0,0,0,1117
iść,iścz,1,1,0,0,0,0,1117
iść,isze,1,0,1,0,0,0,5109
iść,jiść,1,0,0,1,0,0,2105
iść,iśt,6,0,0,2,3,1,"2114, 2118, 3103, 3114, 3117, 4115"
iść,iszte,1,0,0,0,1,0,3115
iść,iśte,1,0,0,0,1,0,3115
iść,isz,1,0,0,0,1,0,3101
iść,iśc,1,0,0,0,1,0,3105
ulicą,ulicza,12,2,0,7,2,1,"1103, 1114, 2101, 2103, 2106, 2107, 2117, 2119, 2120, 3106, 3117, 4120"
ulicą,ulisa,2,1,0,0,1,0,"1120, 3109"
ulicą,ulica,30,10,6,5,5,4,"1101, 1102, 1105, 1106, 1110, 1112, 1113, 1115, 1117, 1119, 2102, 2108, 2109, 2116, 2118, 3103, 3112, 3113, 3114, 3118, 4109, 4112, 4118, 4119, 5109, 5111, 5112, 5113, 5114, 5115"
ulicą,ulice,2,1,1,0,0,0,"1104, 5112"
ulicą,ulika,3,2,0,0,1,0,"1108, 1118, 3105"
ulicą,ulico,1,0,1,0,0,0,5112
ulicą,ulicon,9,0,8,0,0,1,"4117, 5101, 5102, 5104, 5106, 5107, 5116, 5118, 5119"
ulicą,uli,1,0,1,0,0,0,5104
ulicą,ulicę,1,0,1,0,0,0,5119
ulicą,ulidze,1,0,1,0,0,0,5120
ulicą,ulicja,3,0,0,1,2,0,"2113, 3102, 3113"
ulicą,ulicia,1,0,0,1,0,0,2114
ulicą,luczi,1,0,0,1,0,0,2107
ulicą,julisa,1,0,0,0,1,0,3104
ulicą,uliszia,1,0,0,0,1,0,3108
ulicą,alica,1,0,0,0,1,0,3116
